mpi_rank,mpi_size,func_name,func_count,func_time
0,16,MPI_Init,1,0.0000e+00
0,16,MPI_Finalize,1,0.0000e+00
0,16,MPI_Comm_rank,15,1.9073e-06
0,16,MPI_Comm_size,5,0.0000e+00
0,16,MPI_Send,50,5.6267e-05
0,16,MPI_Irecv,61,1.7405e-05
0,16,MPI_Allgather,29,1.1658e+00
0,16,MPI_Allgatherv,4,2.1491e-03
0,16,MPI_Allreduce,60,9.5646e-03
1,16,MPI_Init,1,0.0000e+00
1,16,MPI_Finalize,1,0.0000e+00
1,16,MPI_Comm_rank,15,0.0000e+00
1,16,MPI_Comm_size,5,9.5367e-07
1,16,MPI_Send,66,1.7333e-04
1,16,MPI_Irecv,24,1.2636e-05
1,16,MPI_Allgather,29,3.0832e-01
1,16,MPI_Allgatherv,4,3.4103e-03
1,16,MPI_Allreduce,60,9.7592e-03
2,16,MPI_Init,1,0.0000e+00
2,16,MPI_Finalize,1,0.0000e+00
2,16,MPI_Comm_rank,15,4.7684e-06
2,16,MPI_Comm_size,5,9.5367e-07
2,16,MPI_Send,72,1.6904e-04
2,16,MPI_Irecv,29,7.1526e-06
2,16,MPI_Allgather,29,1.1989e+00
2,16,MPI_Allgatherv,4,3.0539e-03
2,16,MPI_Allreduce,60,1.0019e-02
3,16,MPI_Init,1,0.0000e+00
3,16,MPI_Finalize,1,0.0000e+00
3,16,MPI_Comm_rank,15,6.9141e-06
3,16,MPI_Comm_size,5,1.9073e-06
3,16,MPI_Send,50,1.9073e-05
3,16,MPI_Irecv,24,1.1444e-05
3,16,MPI_Allgather,29,1.0137e+00
3,16,MPI_Allgatherv,4,2.0418e-03
3,16,MPI_Allreduce,60,1.0122e-02
4,16,MPI_Init,1,0.0000e+00
4,16,MPI_Finalize,1,0.0000e+00
4,16,MPI_Comm_rank,15,4.7684e-06
4,16,MPI_Comm_size,5,9.5367e-07
4,16,MPI_Send,90,1.2026e-03
4,16,MPI_Irecv,32,1.1206e-05
4,16,MPI_Allgather,29,1.2119e+00
4,16,MPI_Allgatherv,4,3.9682e-03
4,16,MPI_Allreduce,60,9.0013e-03
5,16,MPI_Init,1,0.0000e+00
