mpi_rank,mpi_size,func_name,func_count,func_time
0,16,MPI_Init,1,0.0000e+00
0,16,MPI_Finalize,1,0.0000e+00
0,16,MPI_Comm_rank,15,3.8147e-06
0,16,MPI_Comm_size,5,0.0000e+00
0,16,MPI_Send,60,6.9618e-05
0,16,MPI_Irecv,46,2.6941e-05
0,16,MPI_Allgather,27,3.9844e+01
0,16,MPI_Allgatherv,4,3.0921e-03
0,16,MPI_Allreduce,56,4.1273e-02
1,16,MPI_Init,1,0.0000e+00
1,16,MPI_Finalize,1,0.0000e+00
1,16,MPI_Comm_rank,15,4.7684e-06
1,16,MPI_Comm_size,5,9.5367e-07
1,16,MPI_Send,62,2.0504e-04
1,16,MPI_Irecv,50,1.3590e-05
1,16,MPI_Allgather,27,1.7554e+01
1,16,MPI_Allgatherv,4,9.7561e-03
1,16,MPI_Allreduce,56,4.0100e-02
2,16,MPI_Init,1,0.0000e+00
2,16,MPI_Finalize,1,0.0000e+00
2,16,MPI_Comm_rank,15,5.9605e-06
2,16,MPI_Comm_size,5,9.5367e-07
2,16,MPI_Send,64,1.6451e-04
2,16,MPI_Irecv,24,6.1989e-06
2,16,MPI_Allgather,27,3.9221e+01
2,16,MPI_Allgatherv,4,7.8351e-03
2,16,MPI_Allreduce,56,4.2329e-02
3,16,MPI_Init,1,0.0000e+00
3,16,MPI_Finalize,1,0.0000e+00
3,16,MPI_Comm_rank,15,1.9073e-06
3,16,MPI_Comm_size,5,9.5367e-07
3,16,MPI_Send,66,5.6028e-05
3,16,MPI_Irecv,28,1.2636e-05
3,16,MPI_Allgather,27,2.8428e+01
3,16,MPI_Allgatherv,4,3.8323e-03
3,16,MPI_Allreduce,56,4.1278e-02
4,16,MPI_Init,1,0.0000e+00
4,16,MPI_Finalize,1,0.0000e+00
4,16,MPI_Comm_rank,15,5.0068e-06
4,16,MPI_Comm_size,5,9.5367e-07
4,16,MPI_Send,92,1.1767e-02
4,16,MPI_Irecv,32,1.0490e-05
4,16,MPI_Allgather,27,3.9033e+01
4,16,MPI_Allgatherv,4,1.2301e-02
4,16,MPI_Allreduce,56,3.1220e-02
5,16,MPI_Init,1,0.0000e+00
