mpi_rank,mpi_size,func_name,func_count,func_time
0,16,MPI_Init,1,0.0000e+00
0,16,MPI_Finalize,1,0.0000e+00
0,16,MPI_Comm_rank,15,6.6757e-06
0,16,MPI_Comm_size,5,9.5367e-07
0,16,MPI_Send,52,8.1301e-05
0,16,MPI_Irecv,28,1.6928e-05
0,16,MPI_Allgather,28,2.0543e+03
0,16,MPI_Allgatherv,4,1.5733e-01
0,16,MPI_Allreduce,58,1.6556e+00
1,16,MPI_Init,1,0.0000e+00
1,16,MPI_Finalize,1,0.0000e+00
1,16,MPI_Comm_rank,15,5.7220e-06
1,16,MPI_Comm_size,5,2.8610e-06
1,16,MPI_Send,58,2.5821e-04
1,16,MPI_Irecv,34,2.2173e-05
1,16,MPI_Allgather,28,7.0765e+02
1,16,MPI_Allgatherv,4,2.4071e-01
1,16,MPI_Allreduce,58,1.7730e+00
2,16,MPI_Init,1,0.0000e+00
2,16,MPI_Finalize,1,0.0000e+00
2,16,MPI_Comm_rank,15,3.8147e-06
2,16,MPI_Comm_size,5,3.0994e-06
2,16,MPI_Send,66,2.4271e-04
2,16,MPI_Irecv,28,2.5272e-05
2,16,MPI_Allgather,28,2.2309e+03
2,16,MPI_Allgatherv,4,1.8403e-01
2,16,MPI_Allreduce,58,1.7317e+00
3,16,MPI_Init,1,0.0000e+00
3,16,MPI_Finalize,1,0.0000e+00
3,16,MPI_Comm_rank,15,8.5831e-06
3,16,MPI_Comm_size,5,0.0000e+00
3,16,MPI_Send,64,2.2793e-04
3,16,MPI_Irecv,37,2.7895e-05
3,16,MPI_Allgather,28,1.4108e+03
3,16,MPI_Allgatherv,4,1.5747e-01
3,16,MPI_Allreduce,58,1.8455e+00
4,16,MPI_Init,1,0.0000e+00
4,16,MPI_Finalize,1,0.0000e+00
4,16,MPI_Comm_rank,15,7.6294e-06
4,16,MPI_Comm_size,5,0.0000e+00
4,16,MPI_Send,80,5.7637e-02
4,16,MPI_Irecv,36,3.6478e-05
4,16,MPI_Allgather,28,2.1550e+03
4,16,MPI_Allgatherv,4,2.5735e-01
4,16,MPI_Allreduce,58,1.6415e+00
5,16,MPI_Init,1,0.0000e+00
