mpi_rank,mpi_size,func_name,func_count,func_time
0,8,MPI_Init,1,0.0000e+00
0,8,MPI_Finalize,1,0.0000e+00
0,8,MPI_Comm_rank,15,6.1989e-06
0,8,MPI_Comm_size,5,0.0000e+00
0,8,MPI_Send,48,5.4121e-05
0,8,MPI_Irecv,24,7.8678e-06
0,8,MPI_Allgather,16,3.5272e+01
0,8,MPI_Allgatherv,4,1.1843e-02
0,8,MPI_Allreduce,34,4.5841e-03
1,8,MPI_Init,1,0.0000e+00
1,8,MPI_Finalize,1,0.0000e+00
1,8,MPI_Comm_rank,15,1.9073e-06
1,8,MPI_Comm_size,5,9.5367e-07
1,8,MPI_Send,48,2.2674e-04
1,8,MPI_Irecv,24,1.5497e-05
1,8,MPI_Allgather,16,3.5062e+01
1,8,MPI_Allgatherv,4,4.9222e-03
1,8,MPI_Allreduce,34,4.1790e-03
2,8,MPI_Init,1,0.0000e+00
2,8,MPI_Finalize,1,0.0000e+00
2,8,MPI_Comm_rank,15,5.0068e-06
2,8,MPI_Comm_size,5,0.0000e+00
2,8,MPI_Send,48,1.6522e-04
2,8,MPI_Irecv,24,1.1921e-05
2,8,MPI_Allgather,16,7.9774e+01
2,8,MPI_Allgatherv,4,1.6507e-02
2,8,MPI_Allreduce,34,5.3761e-03
3,8,MPI_Init,1,0.0000e+00
3,8,MPI_Finalize,1,0.0000e+00
3,8,MPI_Comm_rank,15,5.7220e-06
3,8,MPI_Comm_size,5,9.5367e-07
3,8,MPI_Send,40,1.8406e-04
3,8,MPI_Irecv,24,1.0967e-05
3,8,MPI_Allgather,16,4.1582e+01
3,8,MPI_Allgatherv,4,5.1601e-03
3,8,MPI_Allreduce,34,8.3442e-03
4,8,MPI_Init,1,0.0000e+00
4,8,MPI_Finalize,1,0.0000e+00
4,8,MPI_Comm_rank,15,5.9605e-06
4,8,MPI_Comm_size,5,9.5367e-07
4,8,MPI_Send,48,1.6737e-04
4,8,MPI_Irecv,24,1.7643e-05
4,8,MPI_Allgather,16,8.3373e+01
4,8,MPI_Allgatherv,4,6.6876e-03
4,8,MPI_Allreduce,34,8.5886e-03
5,8,MPI_Init,1,0.0000e+00
5,8,MPI_Finalize,1,0.0000e+00
5,8,MPI_Comm_rank,15,5.9605e-06
5,8,MPI_Comm_size,5,9.5367e-07
5,8,MPI_Send,40,1.9574e-04
5,8,MPI_Irecv,24,1.5974e-05
5,8,MPI_Allgather,16,6.1374e+01
5,8,MPI_Allgatherv,4,2.6062e-03
5,8,MPI_Allreduce,34,2.0378e-03
6,8,MPI_Init,1,0.0000e+00
6,8,MPI_Finalize,1,0.0000e+00
6,8,MPI_Comm_rank,15,5.7220e-06
6,8,MPI_Comm_size,5,2.8610e-06
6,8,MPI_Send,40,1.8668e-04
6,8,MPI_Irecv,24,1.5974e-05
6,8,MPI_Allgather,16,7.1045e+01
6,8,MPI_Allgatherv,4,9.9959e-03
6,8,MPI_Allreduce,34,4.4930e-03
7,8,MPI_Init,1,0.0000e+00
7,8,MPI_Finalize,1,0.0000e+00
7,8,MPI_Comm_rank,15,1.1921e-06
7,8,MPI_Comm_size,5,9.5367e-07
7,8,MPI_Send,24,2.5988e-05
7,8,MPI_Irecv,12,1.8358e-05
7,8,MPI_Allgather,16,8.5589e+01
7,8,MPI_Allgatherv,4,4.5297e-02
7,8,MPI_Allreduce,34,4.6334e-03
