mpi_rank,mpi_size,func_name,func_count,func_time
0,8,MPI_Init,1,0.0000e+00
0,8,MPI_Finalize,1,0.0000e+00
0,8,MPI_Comm_rank,15,5.2452e-06
0,8,MPI_Comm_size,5,0.0000e+00
0,8,MPI_Send,48,1.1206e-04
0,8,MPI_Irecv,24,8.5831e-06
0,8,MPI_Allgather,16,6.9026e-01
0,8,MPI_Allgatherv,4,1.4999e-03
0,8,MPI_Allreduce,34,1.1747e-03
1,8,MPI_Init,1,0.0000e+00
1,8,MPI_Finalize,1,0.0000e+00
1,8,MPI_Comm_rank,15,4.2915e-06
1,8,MPI_Comm_size,5,0.0000e+00
1,8,MPI_Send,48,1.8740e-04
1,8,MPI_Irecv,24,1.2159e-05
1,8,MPI_Allgather,16,1.0167e-01
1,8,MPI_Allgatherv,4,2.7990e-03
1,8,MPI_Allreduce,34,9.5105e-04
2,8,MPI_Init,1,0.0000e+00
2,8,MPI_Finalize,1,0.0000e+00
2,8,MPI_Comm_rank,15,4.7684e-06
2,8,MPI_Comm_size,5,9.5367e-07
2,8,MPI_Send,48,1.5497e-04
2,8,MPI_Irecv,24,7.8678e-06
2,8,MPI_Allgather,16,1.0129e+00
2,8,MPI_Allgatherv,4,3.0017e-03
2,8,MPI_Allreduce,34,1.0099e-03
3,8,MPI_Init,1,0.0000e+00
3,8,MPI_Finalize,1,0.0000e+00
3,8,MPI_Comm_rank,15,4.0531e-06
3,8,MPI_Comm_size,5,1.9073e-06
3,8,MPI_Send,40,3.2902e-05
3,8,MPI_Irecv,24,9.2983e-06
3,8,MPI_Allgather,16,5.0145e-01
3,8,MPI_Allgatherv,4,3.9029e-04
3,8,MPI_Allreduce,34,1.5230e-03
4,8,MPI_Init,1,0.0000e+00
4,8,MPI_Finalize,1,0.0000e+00
4,8,MPI_Comm_rank,15,5.2452e-06
4,8,MPI_Comm_size,5,2.1458e-06
4,8,MPI_Send,48,1.6451e-04
4,8,MPI_Irecv,24,1.3590e-05
4,8,MPI_Allgather,16,1.0330e+00
4,8,MPI_Allgatherv,4,7.6914e-04
4,8,MPI_Allreduce,34,1.8003e-03
5,8,MPI_Init,1,0.0000e+00
5,8,MPI_Finalize,1,0.0000e+00
5,8,MPI_Comm_rank,15,6.9141e-06
5,8,MPI_Comm_size,5,0.0000e+00
5,8,MPI_Send,40,1.8144e-04
5,8,MPI_Irecv,24,1.5020e-05
5,8,MPI_Allgather,16,4.3388e-01
5,8,MPI_Allgatherv,4,2.9898e-04
5,8,MPI_Allreduce,34,7.3433e-04
6,8,MPI_Init,1,0.0000e+00
6,8,MPI_Finalize,1,0.0000e+00
6,8,MPI_Comm_rank,15,5.2452e-06
6,8,MPI_Comm_size,5,0.0000e+00
6,8,MPI_Send,40,1.6880e-04
6,8,MPI_Irecv,24,1.5259e-05
6,8,MPI_Allgather,16,7.5012e-01
6,8,MPI_Allgatherv,4,9.7609e-04
6,8,MPI_Allreduce,34,1.0865e-03
7,8,MPI_Init,1,0.0000e+00
7,8,MPI_Finalize,1,0.0000e+00
7,8,MPI_Comm_rank,15,4.5300e-06
7,8,MPI_Comm_size,5,0.0000e+00
7,8,MPI_Send,24,2.0027e-05
7,8,MPI_Irecv,12,1.4782e-05
7,8,MPI_Allgather,16,1.3752e+00
7,8,MPI_Allgatherv,4,4.9777e-03
7,8,MPI_Allreduce,34,1.2040e-03
